tag_number,Shut-off Pressures P1 / P2,Power Failure Pos.,Manufacturer / Model,Body Style,Required Travel / Angle,Bench Range,Plug/Stem MAT,Butterfly/Shaft MAT,Seat/Guide MAT,Seat Diameter,Trim Coating,Leakage Class,Packing MAT
LV-372502A,6.0 / BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.9…1.44 BAR C,1.4404,,1.4404,40 MM,,IV,TFE-03
LV-372502B,6.0 / BAR A,FC,FISHER-CULDE/1018.00S,GLOBE VALVE,16 MM,1.3…2.3 BAR G,1.4404,,1.4404,20 MM,,IV,TFE-03
LV-380501,54.0 /1.0 BAR A,FC,FISHER-CULDE/1051.71,ANGLE VALVE,32 MM,0.7…1.8 BAR G,1.4122/1.4571,,1.4122,62 MM,,IV,TFE-03
LV-380506,10.0 / 1.0 BAR A,FC,FISHER-CULDE/1018.00S,GLOBE VALVE,32 MM,1.4…3.2 BAR G,1.4571,,1.4571,95 MM,,IV,TFE-03
LV-381501,17.0 / 1.0 BAR A,FC,FISHER-CULDE/1018.00S,GLOBE VALVE,16 MM,1.3…2.3 BAR G,1.4571,,1.4571,10 MM,,IV,TFE-03
LV-381503,17.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,1.3…2.3 BAR G,1.4571,,1.4571,6 MM,,IV,TFE-03
LV-382501,11.0 /1.0 BAR A,FC,NELES /L1CMA150,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A182 GR. F316/AISI329,INCOLOY 825,150 MM,,II,PTFE
LV-383501,,,,,,,,,,,,,
LV-385501A,15.0 /1 BAR A,FO,FISHER-GULDE1018.00S,GLOBE VALVE,32 MM,0.2…1.0 BAR G,1.4571,,1.4571,80 MM,,IV,PTFE-GRAPHITE
LV-385501B,15.0 /1 BAR A,FO,FISHER-GULDE1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571,25 MM,COMPLETE STELLITED,V,TFE/VACUUM
LV-388501,N/A,FC,NELES /L1CMA250,BUTTERFLY VALVE,N/A,1.5…3.5 BAR G,,A182 GR. F316/AISI329,INCOLOY 825,250 MM,,IV,PTFE
LV-389501,6.0 /1 BAR A,FC,NELES /L1CMA200,BUTTERFLY VALVE,N/A,1.5…3.5 BAR G,,A182 GR. F316/AISI329,INCOLOY 825,200 MM,,IV,PTFE
LV-389508,4.0 /1 BAR A,FC,NELES /L1CMA250,BUTTERFLY VALVE,N/A,1.5…3.5 BAR G,,A182 GR. F316/AISI329,INCOLOY 825,250 MM,,IV,PTFE
LV-392505,7.0 /1 BAR A,FC,NELES /L1CMA250,BUTTERFLY VALVE,N/A,1.5…3.5 BAR G,,A182 GR. F316/AISI329,INCOLOY 825,250 MM,,II,PTFE
NCMETER,,,,,,,,,,,,,
PCV-301226,,,,,,,,,,,,,
PCV-329211,171.0 / 1.0 BAR G,FO,URACA,SINGLE SEAT,N/A,N/A,9.4073 / 2.5550,,1.4301,24 MM,SEAT STELLITED,2% OF KVS,O-RING
PCV-329277,,,,,,,,,,,,,
PCV-383212,,,,,,,,,,,,,
PCV-383213,,,,,,,,,,,,,
PCV-383221,,,,,,,,,,,,,
PV-301203,54.0 / 1.0 BAR,FC,NELES /L4F/DMU100,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A351 GR. CF8M/17-4PH,INCOLOY 825,125 MM,,IV,PTFE
PV-301213,31 /1 BAR A,FC,FISHER-GULDE/1018.01,GLOBE VALVE,,,,A182 GR. F316/17-4HP,INCOLOY 825,80 MM,,V,PTFE
PV-303202,52.0 /1.0 BAR A,FC,FISHER-GULDE/1013.04,GLOBE VALVE,45 MM,1.0…2.2 BAR G,1.455,,1.455,122 MM,,IV,SET-81
PV-303204,,,,,,,,,,,,,
PV-303231A,54.0 /1.0 BAR A,FC,FISHER-GULDE/1013.31,GLOBE VALVE,32 MM,1.0...2.4 BAR G,1.4571,,1.4571,77 MM,PARTLY STELLITED,IV,TFE-03
PV-303231B,54.0 /1.0 BAR A,FC,FISHER-GULDE/1013.31,GLOBE VALVE,32 MM,1.0...2.4 BAR G,1.4571,,1.4571,77 MM,PARTLY STELLITED,IV,TFE-03
PV-303237A,10.0 /1.0 BAR A,FC,FISHER-GULDE/EWT,GLOBE VALVE,51 MM,0.6…2.2 BAR G,416 SST,,416 SST,111 MM,,IV,TFE-03
PV-303237B,10.0 /1.0 BAR A,FC,FISHER-GULDE/1018.10,GLOBE VALVE,32 MM ,1.0...2.4 BAR G,1.4571,,1.4571,80 MM,,IV,TFE-03
PV-303239,10.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,1.5...2.4 BAR G,1.4571,,1.4571,25 MM,,IV,PTFE-GRAPHITE
PV-303241,10.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,1.3...2.3 BAR G,1.4571,,1.4571,6 MM,,IV,PTFE-GRAPHITE
PV-303260,138 /1.0 BAR A,FL /FC,FISHER-GULDE/1013.10,GLOBE VALVE,45 (80) MM,1.7...2.9 BAR G,1.4923,,1.4923,62 MM,COMPLETE STELLITED,V,SET-81
PV-304204,35.5 /1.0 BAR A,FC,FISHER-GULDE/1011.04,GLOBE VALVE,80 MM,1.1…2.4 BAR G,1.4571,,1.4571,300 MM,,V,TFE-03
PV-305201,35.5 /1.0 BAR A,FC,FISHER-GULDE/1013.04,GLOBE VALVE,80 MM,1.2…2.4 BAR G,1.4571,,1.4571,197 MM,,V,SET-81
PV-305220,7.0/0.8 BAR A,FO,FISHER-GULDE/EWT,GLOBE VALVE,51 MM,0.7…2.2  BAR G,416SST,,416SST,111 MM,,IV,TFE
PV-305236A,2.6 /0.8 BAR,FC,NELES /L1CMA150,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A182 GR. F316/AISI329,INCOLOY 825,150 MM,,IV,PTFE
PV-305236B,2.6 /0.8 BAR,FC,NELES /L1CMA300,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A182 GR. F316/AISI329,INCOLOY 825,300 MM,,IV,PTFE
PV-306205,35.5 /1.0 BAR A,FC,FISHER-GULDE/1051.31,ANGLE VALVE,45 MM,1.0…2.2 BAR G,1.4571 + SOFT SEAT,,1.4571,147 MM,,VI,TFE-03
PV-307221A,52.0 / 1.0 BAR A,FL /FC,FISHER-GULDE/1013.04,GLOBE VALVE,55 MM,0.8…2.2 BAR G,1.4571,,1.4571,147 MM,PARTLY STELLITED,V,SET-81
PV-307221B,138.0 / 1.0 BAR,FO,BOMAFA /DWG A2956C,ANGLE VALVE,55 MM,N/A,1.4299 / 1.4923,,1.4299 / 1.4923,97 MM,,V ACC. ANSI B16. 104,1.4541/GRAPHITE
PV-307225,,,,,,,,,,,,,
PV-308205,10 / 1 BAR,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,1.3…2.3 BAR G,1.4571,,1.4571 / SOFT,6 MM,,VI,PTFE-GRAPHITE
PV-309201,21.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,1.3…2.3 BAR G,1.4571,,1.4571,6 MM,,IV,TFE-03
PV-309218,16.0 /1.0 BAR A,FO,NELES /L1CMA250,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A182 GR. F316/AISI329,INCOLOY 825,250 MM,,IV,PTFE
PV-310201A,31 / 1 BAR,FC,FISHER-GULDE/1051.00,ANGLE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,6 MM,,IV,TFE-03
PV-310201B,31 / 1 BAR,FC,FISHER-GULDE/1051.00,ANGLE VALVE,32 MM,0.7…2.3 BAR,1.4571,,1.4571,8 MM,,V,TFE-03
PV-310202,26.0 / 1.0 BAR A,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.3…2.3 BAR G,1.4571,,1.4571,6 MM,,IV,PTFE-GRAPHITE
PV-310203A,208 / 1 BAR,FC,FISHER-GULDE/HPS,GLOBE VALVE,19 MM,0.7…1.8 BAR G,316SST+STELL,,316SST+STELL,13 MM,COMPLETE STELLITED,V,TFE
PV-310203B,208.0 / 1 BAR,FC,FISHER-GULDE/1051.10,ANGLE VALVE,32 MM,1.0…2.4 BAR,1.4571,,1.4571,15 MM,PARTLY STELLITED,V,TFE-03
PV-311201,130 / 1 BAR,FC,FISHER-GULDE/1051.30,ANGLE VALVE,32 MM,1.4…3.2 BAR G,1.4571,,1.4571,25 MM,COMPLETE STELLITED,,TFE-03
PV-320206A,28.0 /1.0 BAR,FC,FISHER-GULDE/1013.04,GLOBE VALVE,80 MM,1.2…2.4 BAR G,1.4571,,1.4571,197 MM,PARTLY STELLITED,V,SET-81
PV-320206B,138.0 / 1.0 BAR,FC,BOMAFA /DWG A3098C,ANGLE VALVE,50 MM,0.5…1.4 BAR,1.7380 / 1.4923,,1.4923 / 1.4923,57 MM,,V,1.4541/GRAPHITE
PV-320207B,,,,,,,,,,,,,
PV-322201,6.0 / 1 BAR G,FO,FISHER-GULDE/1013.10,GLOBE VALVE,32 MM,0.2…1.0 BAR G,1.4404,,1.4404,62 MM,,V,TFE-03
PV-322203,188.0 /1.0 BAR,FO,FISHER-GULDE/1051.31,ANGLE VALVE,32 MM,1.35…2.25 BAR,1.4571,,1.4571,62 MM,COMPLETE STELLITED,V,TFE-03
PV-323202A,7 / 1 BAR,FC,NELES / L1CNA300,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A182 GR. F316/AISI329,INCOLOY 825,300 MM,,II,PTFE
PV-323202B,7 / 1 BAR,FO,NELES / L1CMA250,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A182 GR. F316/AISI329,INCOLOY 825,250 MM,,IV,PTFE
PV-323203,6.0 /1.0 BAR A,FO,NELES / L4K/CMU200,BUTTERFLY VALVE,N/A,1.1…3.0 BAR G,,A351 GR. CF8M/AISI329,INCOLOY 825,100 MM,,IV,PTFE
PV-324202,6.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571,20 MM,,IV,PTFE-V RINGS(VACUUM)
PV-328202,9.0 /1.0 BAR A,FC,NELES /L1CMA300,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A182 GR. F316/AISI329,INCOLOY 825,300 MM,,IV,PTFE
PV-328203,25.0 /1.0 BAR A,FC,FISHER-GULDE/1013.10,GLOBE VALVE,32 MM,1.4…3.2 BAR G,1.4404,,1.4404,47 MM,,IV,TFE-03
PV-329202,7.0 /1.0 BAR A,FO,NELES / L1CMA200,BUTTERFLY VALVE,N/A,1.1…3.0 BAR G,,A182 GR. F316/AISI329,INCOLOY 825,200 MM,,IV,PTFE
PV-329202B,,,,,,,,,,,,,
PV-329203,7.0 /1.0 BAR A,FO,NELES / L1CMA250,BUTTERFLY VALVE,N/A,1.1…3.0 BAR G,,A182 GR. F316/AISI329,INCOLOY 825,250 MM,,IV,PTFE
PV-329204,32.0 /1.0 BAR A,FC,NELES / S-L4FDMU300,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A351 GR. CF8M/17-4PH,INCOLOY 825,250 MM,,IV,GRAPHITE
PV-329205A,28.5 /1.0 BAR A,FC,FISHER-GULDE/1013.10,GLOBE VALVE,32 MM,1.35…2.25 BAR,1.4571,,1.4571,77 MM,,IV,SET-81
PV-329205B,12.0 / 1.0 BAR,FC,FISHER-GULDE/1018.10,GLOBE VALVE,32 MM,1.0…1.8 BAR G,1.4571,,1.4571,95 MM,,IV,TFE-03
PV-329207A,7 / 1 BAR,FC,NELES /S-L1CMA300,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A182 GR. F316/AISI329,INCOLOY 825,300 MM,,IV,PTFE
PV-329207B,7 /1 BAR,FC,NELES /L1CMA200,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A182 GR. F316/AISI329,INCOLOY 825,200 MM,,IV,PTFE
PV-329207C,28.5 / 1.0 BAR,FC,FISHER-GULDE/1013.04,GLOBE VALVE,55 MM,0.8…2.2 BAR G,1.4571,,1.4571,147 MM,,IV,SET-81
PV-329208,7 / 1 BAR,FO,NELES /S-L1CMA250,BUTTERFLY VALVE,N/A,1.1…3.0 BAR G,,A182 GR. F316/AISI329,INCOLOY 825,250 MM,,IV,PTFE
PV-335201A,8.0 / 1.0 BAR,FC,FISHER-GULDE/1019.00,ANGLE VALVE,32 MM,1.4…3.2 BAR G,1.4306,,1.4306,95 MM,,IV,TFE-03
PV-335201B,8.0 / 1.0 BAR,FO,FISHER-GULDE/1019.00,ANGLE VALVE,32 MM,0.2…1.0 BAR G,1.4306,,1.4306,80 MM ,PARTLY STELLITED,IV,TFE-03
PV-335203,,,,,,,,,,,,,
PV-381208,2.0 / 1.0 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,55 MM,0.8…3.2 BAR,1.4571,,1.4571,145 MM,,IV,TFE-03
PV-382201A,7.0 / 1.0 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,45 MM,1.7…2.5 BAR,1.4571,,1.4571,145 MM,,V,SET-81
PV-382201B,7.0 / 1.0 BAR,FC,FISHER-GULDE/1021.10,GLOBE VALVE,65 MM,1.1…2.2 BAR,1.4571,,1.4571,200 MM,,IV,SET-81
PV-382202,7.0 / 1.0 BAR,FC,NELES /L1CMH150,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A182 GR. F316/17-4HP,INCOLOY 825,150 MM,,IV,GRAPHITE
PV-382208,52.0 / 1.0 BAR A,FC,BOMAFA /DWG.3098C,ANGLE VALVE,50 MM,N/A,1.5415 / 1.4923,,1.4923 / 1.4923,57 MM,,V,GRAPHITE
PV-382214,7.0 / 1.0 BAR,FC,FISHER-GULDE /1018.00,GLOBE VALVE,55 MM,1.6…2.5 BAR,1.4571,,1.4571,145 MM,,IV,SET-81
PV-383204,,,,,,,1.4571,,1.4571,25 MM,,IV,TFE-03
PV-384201,11.0 / 1.0 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,,,,,,,
PV-384206A,11.5 / 1.0 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,25 MM,,IV,PTFE-GRAPHITE
PV-384206B,11.5 / 1.0 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM ,1.5…2.4 BAR G,1.4571,,1.4571,25 MM,,IV,PTFE-GRAPHITE
PV-384216,1.2 / 1 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,50 MM,,IV,PTFE-GRAPHITE
PV-384218,6.0 / 1.0 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.3…2.3 BAR G,1.4571,,1.4571,25 MM,,IV,PTFE-GRAPHITE
TV-303007,142.0 / 137.0 BAR,FO,BOMAFA /DWC.A4213H,3 WAY VALVE,0…90 MM,N/A,,,,,,,
TV-303011,,,,,,,,,,,,,
TV-303013,,,,,,,,,,,,,
TV-303015,,,,,,,,,,,,,
TV-303017,,,,,,,,,,,,,
TV-303027,,,,,,,,,,,,,
TV-303045,,,,,,,,,,,,,
TV-303049,,,,,,,,,,,,,
TV-303057,,,,,,,,,,,,,
TV-304007,142 / 137 BAR,FO,BOMAFA /DWC.A4213H,3 WAY VALVE,0…90 MM,N/A,,1.5415 / 1.4021,NO SEAT TYPE CONSTR,,,II,GRAPHITE
TV-304016,143.0 / 138.0 BAR,FO,BOMAFA /DWC.A4213H,3 WAY VALVE,0…90 MM,N/A,,1.5415 / 1.4021,NO SEAT TYPE CONSTR,,,II,GRAPHITE
TV-305027,,,,,,,,,,,,,
TV-306003,35.5 /1.0 BAR A,FC,FISHER-GULDE/ED,GLOBE VALVE,38 MM,0.6…2.2 BAR G,316SST+CO/CR,,316SST+CO/CR,87 MM,,IV,TFE
TV-307007,,,,,,,,,,,,,
TV-311001,,,,,,,,,,,,,
TV-320005,,,,,,,,,,,,,
TV-320020,,,,,,,,,,,,,
TV-323013,6.0 / 1.0 BAR,FO,FISHER-GULDE/1018.00,GLOBE VALVE,32 MM,0.2…1.0 BAR G,1.4404,,1.4404,80 MM,,IV,TFE-03
TV-329005,19 / 1 BAR,FC,NELES /L1DMA200,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A182 GR. F316/17-4HP,INCOLOY 825,200 MM,,IV,PTFE
TV-335013,12.0 / 1 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,45 MM,1.7…2.5 BAR,1.4571,,1.4571,120 MM,,IV,TFE-03
TV-335015,12.0 / 1 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,32 MM,1.0…1.8 BAR G,1.4571,,1.4571,95 MM,,IV,TFE-03
TV-335017,12.0 / 1 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,32 MM,1.0…2.4 BAR,1.4571,,1.4571,65 MM,,IV,PTFE-GRAPHITE
TV-335020,7.0 / 1.0 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,30 MM,,IV,PTFE-GRAPHITE
TV-335023,12.0 / 1.0 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,32 MM,1.4…3.2 BAR G,1.4571,,1.4571,80 MM,,IV,PTFE-GRAPHITE
TV-372001,6.0 / BAR A,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,40 MM,,IV,TFE-03
TV-372007,6.0 / BAR A,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,25 MM,,IV,TFE-03
TV-381003, / 1.0 BAR,FC,FISHER-GULDE/1018.10,GLOBE VALVE,55 MM,0.8…2.2 BAR G,1.4571,,1.4571,95 MM,,IV,SET-81
TV-382001,,,,,,,,,,,,,
TV-383004,,,,,,,,,,,,,
TV-383007,,,,,,,,,,,,,
XV-301901,54 / 1 BAR,FC,NELES / D1FY250,BALL VALVE,N/A,1.5…3.5 BAR,,CF8M / CF8M,PTFE/316SS,250 MM ,,IV,GRAPHITE
XV-303915,7.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571 PTFE SOFT ST,25 MM,,VI,PTFE-GRAPHITE
XV-303916,7.0 /1.0 BAR A,FC,NELES / 300-F802W,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,1.4408 / 1.4418,PTFE/316SS,300 MM,,V,GRAPHITE
XV-303918,10 / 1 BAR,FC,NELES / MDO5OMDCA,BALL VALVE,N/A,1.5…3.5 BAR,,316SS / XM-19,PTFE,50 MM,,VI,GRAPHITE
XV-303919,10.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571 PTFE SOFT ST,25 MM,,VI,PTFE-GRAPHITE
XV-303920,10.0 /1.0 BAR A,FC,NELES / MDO25MDCA,BALL VALVE,N/A,1.5…3.5 BAR,,316SS / XM-19,PTFE,25 MM,,VI,GRAPHITE
XV-303921,10.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571 PTFE SOFT ST,25 MM,,VI,PTFE-GRAPHITE
XV-304901,35.5 / 1.0 BAR,FC,NELES / L4F/DMU400,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A351 GR. CF8M/17-4PH,INCOLOY 825,300 MM,,V,GRAPHITE
XV-304902,35.5 / 1.0 BAR,FO,NELES / L4F/DMU300,BUTTERFLY VALVE,N/A,1.1…3.0 BAR G,,A351 GR. CF8M/17-4PH,INCOLOY 825,250 MM,,V,GRAPHITE
XV-305901,35.5 / 1.0 BAR,FC,NELES / L4F/DMU400,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A351 GR. CF8M/17-4PH,INCOLOY 825,300 MM,,VI,PTFE
XV-305902,45.0 / 1.0 BAR,N/A,KLAUS UNION / 3456,GATE VALVE,N/A,N/A,1.0619 / 1.4021,1.0619,,,1.4502,IV,GRAPHITE
XV-305904,35.5 / 1.0 BAR,FC,NELES / L4F/DMU20,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A351 GR. CF8M/17-4PH,INCOLOY 825,400 MM,,VI,PTFE
XV-306901,35.5 / 1.0 BAR,FC,NELES / L4F/DMU400,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,A351 GR. CF8M/17-4PH,INCOLOY 825,300 MM,,VI BUBBLE TIGHT,GRAPHITE
XV-307911,35.5 / 1.0 BAR,FC,BOMAFA /DWC.A4334,AXIAL PISTON,120 MM,N/A,1.0619, / 1.4122,1.4057 / 1.4057,275 MM,,VI,PTFE-GRAPHITE
XV-307912,208 / 10 BAR,FC,BOMAFA /DWC.A4334,AXIAL PISTON,80 MM,N/A,1.7357, / 1.4122,1.4057 / 1.4057,160 MM,HARD FACING,VI,PTFE-GRAPHITE
XV-307913,208 / 10 BAR,FC,BOMAFA /DWC.A4334,AXIAL PISTON,140 MM ,N/A,1.7357, / 1.4122,1.4057 / 1.4057,305 MM,HARD FACING,VI,PTFE-GRAPHITE
XV-307914,208 / 10 BAR,FC,BOMAFA /DWC.A4334,AXIAL PISTON,140 MM ,N/A,1.7357, / 1.4122,1.4057 / 1.4057,305 MM,HARD FACING,VI,PTFE-GRAPHITE
XV-308901,10 / 1 BAR,FC,NELES /MDO25MDGA,BALL VALVE,N/A,1.5…3.5 BAR,,316SS / XM-19,PTFE,25 MM,,VI,GRAPHITE
XV-308902,10.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571 / SOFT,25 MM,,VI,PTFE-GRAPHITE
XV-308903,10.0 /1.0 BAR A,FC,NELES /MDO80LDGA,BALL VALVE,N/A,1.5…3.5 BAR,,316SS / XM-19,PTFE,80 MM,,VI,GRAPHITE
XV-308904,10.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571 / SOFT,25 MM,,VI,PTFE-GRAPHITE
XV-308905,31 /1.0 BAR A,FC,FISHER-GULDE/1018.01,GLOBE VALVE,32 MM,0.7…1.8 BAR G,1.4571,,1.4571,95 MM,COMPLETE STELLITED,IV,TFE-03
XV-311901,,,,,,,,,,,,,
XV-311902,,,,,,,,,,,,,
XV-311903,,,,,,,,,,,,,
XV-321901,31 / 1.0 BAR,FC,NELES /DN150-805W,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,1.4408 / 1.4418,PTFE,150 MM,,IV,PTFE
XV-322901,180 / 160 BAR,FC,FISHER-GULDE/1051.01,ANGLE VALVE,32 MM,1.4…2.4 BAR,1.4571,,1.4571,97 MM,,V,SET-81
XV-322902,SEE REM,FC,FISHER-GULDE/1089.10,ANGLE VALVE,55 MM,1.1…2.0 BAR,FERRAL IUM 255,,FERRAL IUM 255,90 MM,,V,AROSTAT 6204
XV-322903,147 / 142 BAR,FC,FISHER-GULDE/1089.10,ANGLE VALVE,55 MM,1.6…2.5 BAR,FERRAL IUM 255,,FERRAL IUM 255,90 MM,,IV,AROSTAT 6204
XV-322915,12 / 1 BAR,FO,FISHER-GULDE/1089.10,GLOBE VALVE,N/A,0.2…1.0 BAR G,1.4571,,1.4571,40 MM,,IV,TFE-03
XV-322920,,,,,,,,,,,,,
XV-329901,16 / 1 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5...2.4 BAR,1.4571,,1.4571,25 MM,COMPLETE STELLITED,IV,TFE-03
XV-335910,21 / 1 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5...2.4 BAR,1.4571,,1.4571,50 MM,,V,TFE-03
XV-335931A,8 / 1 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,50 MM,,IV,TFE-03
XV-335931B,8 / 1 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,50 MM,,IV,TFE-03
XV-335931C,8 / 1 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,50 MM,,IV,TFE-03
XV-335931D,8 / 1 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,50 MM,,IV,TFE-03
XV-335931E,8 / 1 BAR,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,50 MM,,IV,TFE-03
XV-380901,54 / 1 BAR,FC,FISHER-GULDE/1013.04,GLOBE VALVE,80 MM,1.2…2.4 BAR G,1.4571,,1.4571,147 MM,,V,SET-81
XV-381901,3 / 1 BAR,FC,NELES / DN250 K802,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,1.4408 / 1.4418,PTFE,250 MM,,V,PTFE
XV-381902,3 / 1 BAR,FC,NELES / DN300 K802,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,1.4408 / 1.4418,PTFE,300 MM,,V,PTFE
XV-382901,5.5 / 1 BAR,FC,NELES / DN200 802,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,1.4408 / 1.4418,PTFE,200 MM,,VI,PTFE
XV-382902,7 / 1 BAR,FC,NELES / DN200 802,BUTTERFLY VALVE,N/A,1.5…3.5 BAR,,,,,,,
XV-383951,,,,,,,,,,,,,
XV-383952,,,,,,,,,,,,,
XV-383953,,,,,,,,,,,,,
XV-383956,,,,,,,,,,,,,
XV-383957,,,,,,,,,,,,,
XV-383958,,,,,,,,,,,,,
XV-383959,,,,,,,,,,,,,
XV-385902,,,,,,,,1.4408 / 1.4418,PTFE,300 MM,,IV,PTFE
XV-388901,N/A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571,25 MM,,IV,PTFE-GRAPHITE
XV-389901,N/A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571,25 MM,,IV,PTFE-GRAPHITE
XV-389902,,,,,,,,,,,,,
XV-389903,,,,,,,,,,,,,
XV-390901,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390902,8.0 / 1.0 BAR,N/A,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,200 MM,,VI,O-RING
XV-390903,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
XV-390904,8.0 / 1.0 BAR,FC,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390905,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,80 MM,,VI,PTFE
XV-390906,8.0 / 1.0 BAR,N/A,XOMOX /R201,BALL VALVE,N/A,N/A,,(0.7043/Z4CND) FEP,PTFE / PTFE,25 MM,,VI,PTFE
XV-390907,8.0 / 1.0 BAR,FC,XOMOX /108,BUTTERFLY VALVE,N/A,…3.5 BAR,,0.7043 FEB LINED,SILICON,100 MM,,VI,O-RING
