tag_number,Shut-off Pressures P1 / P2,Power Failure Pos.,Manufacturer / Model,Body Style,Required Travel / Angle,Bench Range,Plug/Stem MAT,Butterfly/Shaft MAT,Seat/Guide MAT,Seat Diameter,Trim Coating,Leakage Class,Packing MAT
FV-328405,17.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571,10 MM,,IV,PTFE-GRAPHITE
FV-328406,9.0 /1.0 BAR A,FC,FISHER-GULDE/EZ,GLOBE VALVE,32 MM,1.0…2.4 BAR G,1.4571,,1.4571,80 MM,,IV,PTFE-GRAPHITE
FV-329401,7 /1 BAR A,FC,NELES,BUTTERFLY VALVE,MM,1.5…3.5 BAR G,,A182 GR.F316/AISI329,INCOLOY 825,250 MM,,IV,PTFE
FV-329402,28.5 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,29 MM,1.0...2.4 BAR G,316SST CO/CR,,316SST CO/CR,50 MM,COMPLETE STELLITED,IV,S-GRAPHITE
FV-329409,19 /1 BAR A,FO,NELES,BUTTERFLY VALVE,MM,1.1…3.0 BAR G,,A182 GR.F316/17-4PH,INCOLOY 825,150 MM,,IV,PTFE
FV-335407,6.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,32 MM,0.9…3.2 BAR G,1.4306,,1.4306,50 MM,,IV,TFE-03
FV-380401,52.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,51 MM,0.8…2.2 BAR G,316SST CO/CR,,316SST CO/CR,178 MM,COMPLETE STELLITED,III,S-GRAPHITE
FV-384402,10.0 /1.0 BAR A,FC,FISHER-CULDE/1013.10,GLOBE VALVE,32 MM,1.4…3.2 BAR G,1.4571,,1.4571,95 MM,,IV ,PTFE-GRAPHITE
FV-390417,7.0 /1.0 BAR A,FC,FISHER-CULDE/1013.10,GLOBE VALVE,16 MM,1.3…2.3 BAR G,1.4571,,1.4571,15 MM,,IV,PTFE-GRAPHITE
FV-390418,7.0 /1.0 BAR A,FC,FISHER-GUIDE/1018.00S,GLOBE VALVE,32 MM,1.0…2.4 BAR C,1.4571,,1.4571,50 MM,,IV,PTFE-GRAPHITE
FV-390419,6 / 1.0 BAR G,FC,XOMOX /R201,BALL VALVE,,N/A,,(0.043/Z4CND) FEP,PTFE / PTFE,40 MM,,VI,PTFE
FV-390420,7.0 /1.0 BAR A,FC,FISHER-CULDE/1018.00S,GLOBE VALVE,32 MM,1.0…2.4 BAR G,1.4571,,1.4571,50 MM,,IV,PTFE-GRAPHITE
HV-301601,54 /1.0 BAR A,FC,NELES /L4F/DMU150,BUTTERFLY VALVE,,1.5…3.5 BAR G,,A351 GR. CF8M/17-4PH,INCOLOY 825,125 MM,,V,PTFE
HV-301602,49 /1.0 BAR A,N/A,FISHER-GULDE/1013.30,GLOBE VALVE,N/A,N/A,1.4571,,1.4571,77 MM,PARTLY STELLITED,V,SET-81
HV-301603,54.0 /1.0 BAR A,FO,FISHER-GULDE/EZ,GLOBE VALVE,19 MM,0.2...1.0 BAR C,316SS,,316SS,19 MM,PARTLY STELLITED,V,TFE-03
HV-302601,7 / 1.0 BAR A,FO,NELES / S-L4K/CMA,BUTTERFLY VALVE,N/A,1.1...3.0 BAR G,,A351 GR. CF8M/17-4PH,INCOLOY 825,150 MM,,V,PTFE
HV-303601,52 / 1.0 BAR A,MAN OPERATED,FISHER-GULDE/EWD,GLOBE VALVE,N/A,N/A,316SST CO/CR,,316SST CO/CR,178 MM,COMPLETE STELLITED,III,PTFE
HV-303607,236 /1.0 BAR A,FL / FC,FISHER-GULDE/1051.79,ANGLE VALVE,10 MM,1.35…2.25 BAR,1.4122/1.4571,,1.4122,32 MM,,IV,TF-03
HV-303610,138.0 /1.0 BAR A,FL / FC,FISHER-GULDE/1013.10,GLOBE VALVE,55 MM,1.2…2.0 BAR G,1.4923,,1.4923,47 MM,,V,SET-81
HV-304601,139/1.0 BAR A,N/A,FISHER-GULDE/HPS,GLOBE VALVE,N/A,N/A,416SS,,416SS,25 MM,,IV,PTFE-GRAPHITE
HV-307605,208 /10 BAR A,FO,FISHER-GULDE/1051.31,ANGLE VALVE,32 MM,1.35…2.25 BAR,1.4571,,1.4571,62 MM ,COMPLETE STELLITED,V,TFE-03
HV-307606,110 /20 BAR A,FO,FISHER-GULDE/1050.30,ANGLE VALVE,32 MM,0.7…1.2 BAR,1.4571,,1.4571,62 MM ,,V,TFE-03
HV-307607,208 /183 BAR A,FO,FISHER-GULDE/HPT,GLOBE VALVE,51 MM,0.7…2.2 BAR G,316SST CO/CR,,316SST CO/CR,73 MM,,V,TFE
HV-307612,208 /11.0 BAR A,FC,FISHER-GULDE/1051.31,ANGLE VALVE,32 MM,1.0…1.8 BAR G,1.4122/1.4571,,1.4122,47 MM,,V,TFE-03
HV-307617,110.0 /1.0 BAR A,FO,FISHER-GULDE/1013.10,GLOBE VALVE,32 MM,0.2…1.0 BAR G,1.4571,,1.4571,10 MM,SOFT SEATED,VI,TFE-03
HV-307618,35.5 /1.0 BAR A,FO,FISHER-GULDE/EZ,GLOBE VALVE,19 MM,0.2…1.0 BAR G,316SS+STELL,,316SS+STELL,13 MM,STELLITED,IV,PTFE-GRAPHITE
HV-308602,10 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,25 MM,,V,PTFE-GRAPHITE
HV-308603,208 /194 BAR A,FL / FC,NELES /L4H/DNU150,BUTTERFLY VALVE,N/A,1.5…3.5 BAR G,,1.4401 / 17-4PH,STEP SEAT,150 MM,,III,GRAPHITE
HV-308604,208 / 194 BAR A,FL / FC,NELES /L4H/DNU200,BUTTERFLY VALVE,N/A,1.5…3.5 BAR G,,A182 GR.F316L/17-4PH,STEP SEAT,200 MM,,III,GRAPHITE
HV-308605,208 / 194 BAR A,FL / FC,NELES /L4H/DNU200,BUTTERFLY VALVE,N/A,1.1…3.0 BAR G,,A182 GR.F316L/17-4PH,STEP SEAT,200 MM,,III,GRAPHITE
HV-308606,208 / 194 BAR A,FO,NELES /L4H/DNU400,BUTTERFLY VALVE,N/A,1.1…3.0 BAR G,,A182 GR.F316L/17-4PH,STEP SEAT,400 MM,,III,GRAPHITE
HV-308607,208 / 206 BAR,FC,NELES /L4H/DMU250,BUTTERFLY VALVE,N/A,1.5…3.5 BAR G,,A182 GR.F316L/17-4PH,INCOLOY 825,150 MM,,V,PTFE
