tag_number,Shut-off Pressures P1 / P2,Power Failure Pos.,Manufacturer / Model,Body Style,Required Travel / Angle,Bench Range
AV-335701,,,,,,
AV-372701,,,,,,
FV-301402,,,,,,
FV-301403,,,,,,
FV-302401,,,,,,
FV-303401,,,,,,
FV-303402,,,,,,
FV-303405,,,,,,
FV-303406,,,,,,
FV-303411,,,,,,
FV-303418,,,,,,
FV-303421,,,,,,
FV-305401,,,,,,
FV-305402,,,,,,
FV-305404,,,,,,
FV-305407,,,,,,
FV-305408,,,,,,
FV-305501,,,,,,
FV-307401,,,,,,
FV-307402,,,,,,
FV-309401,,,,,,
FV-309402,,,,,,
FV-310402,,,,,,
FV-310406,,,,,,
FV-320402A,,,,,,
FV-320402B,,,,,,
FV-320405,,,,,,
FV-323401,,,,,,
FV-323402,,,,,,
FV-324401,,,,,,
FV-328402,,,,,,
FV-328404,,,,,,
FV-328405,,,,,,
FV-328406,,,,,,
FV-329401,,,,,,
FV-329402,,,,,,
FV-329409,,,,,,
FV-335407,,,,,,
FV-380401,,,,,,
FV-384402,,,,,,
FV-390417,,,,,,
FV-390418,,,,,,
FV-390419,,,,,,
FV-390420,,,,,,
HV-301601,,,,,,
HV-301602,,,,,,
HV-301603,,,,,,
HV-302601,,,,,,
HV-303601,,,,,,
HV-303607,,,,,,
HV-303610,,,,,,
HV-304601,,,,,,
HV-307605,,,,,,
HV-307606,,,,,,
HV-307607,,,,,,
HV-307612,,,,,,
HV-307617,,,,,,
HV-307618,,,,,,
HV-308602,,,,,,
HV-308603,,,,,,
HV-308604,,,,,,
HV-308605,,,,,,
HV-308606,,,,,,
HV-308607,,,,,,
HV-308608,,,,,,
HV-308609,,,,,,
HV-308611,,,,,,
HV-308621,,,,,,
HV-310602,,,,,,
HV-320601,,,,,,
HV-320610,,,,,,
HV-322604,,,,,,
HV-322605,,,,,,
HV-323605,,,,,,
HV-328601,,,,,,
HV-329601,,,,,,
HV-329602,,,,,,
HV-335602,,,,,,
HV-381601,,,,,,
HV-381602,,,,,,
LV-302501A,,,,,,
LV-302501B,,,,,,
LV-303501,,,,,,
LV-303502,,,,,,
LV-303508,,,,,,
LV-305501,,,,,,
LV-305504,,,,,,ah Ban or
LV-305507A,,,,,,
LV-305507B,,,,,,
LV-305515,,,,,,
LV-305517,,,,,,
LV-306501,,,,,,
LV-307501,,,,,,
LV-307502,,,,,,
LV-307508A,,,,,,
LV-307508B,,,,,,
LV-308501,,,,,,
LV-308504,,,,,,
LV-308507,,,,,,
LV-308510A,,,,,,
LV-308510B,,,,,,
LV-308513A,,,,,,
LV-308513B,,,,,,
LV-309501,,,,,,
LV-309503,,,,,,
LV-309506,,,,,,
LV-309508,,,,,,
LV-309511A,,,,,,
LV-309511B,,,,,,
LV-310501,,,,,,
LV-310503,,,,,,
LV-310509,,,,,,
LV-320504A,,,,,,
LV-320504B,,,,,,
LV-322501,,,,,,
LV-322502,,,,,,
LV-323501,,,,,,
LV-323503,,,,,,
LV-323505,,,,,,
LV-328501,,,,,,
LV-328503,,,,,,
LV-328504,,,,,,
LV-328505,,,,,,
LV-329502,,,,,,
LV-329503,,,,,,
LV-329504,,,,,,
LV-329505,,,,,,
LV-329506A,,,,,,
LV-329506B,,,,,,ofan | Nana'whee! (owners)
LV-335505,,,,,,
LV-335508,,,,,,
LV-335509,,,,,,
LV-372502A,,,,,,
LV-372502B,,,,,,
LV-380501,,,,,,
LV-380506,,,,,,
LV-381501,,,,,,
LV-381503,,,,,,
LV-382501,,,,,,
LV-385501A,,,,,,
LV-385501B,,,,,,
LV-388501,,,,,,
LV-389501,,,,,,
LV-389508,,,,,,
LV-392505,,,,,,
PCV-329211,,,,,,
PV-301203,,,,,,
PV-301213,,,,,,
PV-303202,,,,,,
PV-303231A,,,,,,
PV-303231B,,,,,,
PV-303237A,,,,,,
PV-303237B,,,,,,
PV-303239,,,,,,
PV-303241,,,,,,
PV-303260,,,,,,
PV-304204,,,,,,
PV-305201,,,,,,
PV-305220,,,,,,
PV-305236A,,,,,,
PV-305236B,,,,,,
PV-306205,,,,,,
PV-307221A,,,,,,
PV-307221B,,,,,,
PV-308205,,,,,,
PV-309201,,,,,,
PV-309218,,,,,,
PV-310201A,,,,,,
PV-310201B,,,,,,
PV-310202,,,,,,
PV-310203A,,,,,,
PV-310203B,,,,,,
PV-311201,,,,,,
PV-320206A,,,,,,
PV-320206B,,,,,,
PV-322201,,,,,,
PV-322203,,,,,,
PV-323202A,,,,,,
PV-323202B,,,,,,
PV-323203,,,,,,
PV-324202,,,,,,
PV-328202,,,,,,
PV-328203,,,,,,
PV-329202,,,,,,
PV-329203,,,,,,
PV-329204,,,,,,
PV-329205A,,,,,,
PV-329205B,,,,,,
PV-329207A,,,,,,
PV-329207B,,,,,,
PV-329207C,,,,,,
PV-329208,,,,,,
PV-335201A,,,,,,
PV-335201B,,,,,,
PV-381208,,,,,,
PV-382201A,,,,,,
PV-382201B,,,,,,
PV-382202,,,,,,
PV-382208,,,,,,
PV-382214,,,,,,
PV-384201,,,,,,
PV-384206A,,,,,,
PV-384206B,,,,,,
PV-384216,,,,,,
PV-384218,,,,,,
TV-304007,,,,,,
TV-304016,,,,,,
TV-306003,,,,,,
TV-323013,,,,,,
TV-329005,,,,,,
TV-335013,,,,,,
TV-335015,,,,,,io. 08
TV-335017,,,,,,
TV-335020,,,,,,
TV-335023,,,,,,
TV-372001,,,,,,Nine mee
TV-372007,,,,,,
TV-381003,,,,,,
XV-301901,,,,,,
XV-303915,,,,,,
XV-303916,,,,,,
XV-303918,,,,,,
XV-303919,,,,,,
XV-303920,,,,,,
XV-303921,,,,,,
XV-304901,,,,,,
XV-304902,,,,,,
XV-305901,,,,,,
XV-305902,,,,,,
XV-305904,,,,,,
XV-306901,,,,,,
XV-307911,,,,,,
XV-307912,,,,,,
XV-307913,,,,,,
XV-307914,,,,,,
XV-308901,,,,,,
XV-308902,,,,,,
XV-308903,,,,,,
XV-308904,,,,,,
XV-308905,,,,,,
XV-321901,,,,,,
XV-322901,,,,,,
XV-322902,,,,,,
XV-322903,,,,,,
XV-322915,,,,,,
XV-329901,,,,,,
XV-335910,,,,,,
XV-335931A,,,,,,
XV-335931B,,,,,,
XV-335931C,,,,,,
XV-335931D,,,,,,
XV-335931E,,,,,,meves “ives |}
XV-380901,,,,,,
XV-381901,,,,,,
XV-381902,,,,,,
XV-382901,,,,,,
XV-385902,,,,,,
XV-388901,,,,,,
XV-389901,,,,,,
XV-390901,,,,,,
XV-390902,,,,,,
XV-390903,,,,,,
XV-390904,,,,,,
XV-390905,,,,,,
XV-390906,,,,,,
XV-390907,,,,,,
XV-390909,,,,,,
XV-390910,,,,,,
XV-390911,,,,,,
XV-390912,,,,,,
XV-390913,,,,,,
XV-390914,,,,,,
XV-390915,,,,,,
XV-390916,,,,,,
XV-390917,,,,,,
XV-390921,,,,,,
XV-390922,,,,,,
XV-390923,,,,,,
XV-390924,,,,,,
XV-390925,,,,,,
XV-390926,,,,,,
XV-390927,,,,,,
XV-390929,,,,,,
XV-390930,,,,,,
XV-390931,,,,,,
XV-390932,,,,,,
XV-390933,,,,,,
XV-390934,,,,,,
XV-390935,,,,,,
XV-390936,,,,,,
XV-390937,,,,,,
XV-390941,,,,,,
XV-390942,,,,,,
XV-390943,,,,,,
XV-390944,,,,,,
XV-390945,,,,,,
XV-390946,,,,,,
XV-390947,,,,,,
XV-390949,,,,,,
XV-390950,,,,,,
XV-390951,,,,,,
XV-390952,,,,,,
XV-390953,,,,,,
XV-390954,,,,,,
XV-390955,,,,,,
XV-390956,,,,,,
XV-390957,,,,,,
XV-390971,,,,,,
XV-390972,,,,,,
XV-390973,,,,,,
XV-390974,,,,,,
XV-390975,,,,,,
XV-390976,,,,,,
XV-390977,,,,,,
XV-390978,,,,,,
XV-390979,,,,,,
