Factory,Tag_Number,Date,Work_Done,Test,Technician
AFC 2,FV-31403,4/10/2015 0:00,"Movement test is ok, air leakage from actuator bushing, packing and bushing will be replace , Replace actuator bushing and packing, movement test is ok.",,
AFC 2,FV-31403,29-8-2019,Check for leak through and movement,,
AFC 2,FV-31404,3/10/2015 0:00,"Replaced by maintained valve, that we repair its bonnet by new 321 st.st guide Replaced by maintained valve, that we repair its bonnet by new 321 st.st guide due to the erosion found, plug, seat body machining.",,
AFC 2,FV-31404,24-8-2019,"Machining for internal, leak test and check for its movement",,
AFC 2,FV-31404,4/4/2020 0:00,Change the valve by new one,,
AFC 2,FV-31404,10/1/2021 0:00,Change the valve by Flow Serve,,
AFC 2,FV-31404,6/10/2022 0:00,check for gland,,
AFC 2,FV-31404,1/1/2023 0:00,"Change Packing ""5 Peaces""",,
AFC 2,FV-31414,8/10/2015 0:00,"Change gasket, actuator bushing and yoke.",,
AFC 2,FV-31453,5/10/2015 0:00,"Replace actuator bushing and packing, movement test is ok.",,
AFC 2,FV-31453,29-8-2019,Check for leak through and movement,,
AFC 2,FV-31454,3/10/2015 0:00,"Leakage through found, dismantle internals for machining",,
AFC 2,FV-31454,7/7/2020 0:00,Check for leakage 10 bar. Change packing,,
AFC 2,FV-31454,31/10/2020,Chang Actuator,,
AFC 2,FV-31454,2/1/2021 0:00,Change With Another One,,
AFC 2,FV-31454,10/1/2021 0:00,Change the valve by Flow Serve,,
AFC 2,FV-31454,1/1/2023 0:00,"Change Packing ""5 Peaces""",,
AFC 2,FV-31464,7/10/2015 0:00,Pressure and movement test are ok.,,
AFC 2,FV-32401,4/10/2015 0:00,"Leakage through found 40 ml/min is greater than the accepted value, dismantle for machining, and assemble after change packing, gasket, and actuator bushing pressure test is ok.",,
AFC 2,FV-32401,25-8-2019,"Machining for plug and seat, leak test and check movement",,
AFC 2,FV-32401,3/3/2021 0:00,Change Bushing,,
AFC 2,FV-32401,31/8/2021,"change plug , seat , bushing, coupling and packing, check leak test and movment",,
AFC 2,FV-32401,11/1/2022 0:00,Machining for plug and seat,,
AFC 2,FV-32401,1/1/2023 0:00,"Change Plug, seat, packing, Carpone peace in gland  , check leak test and movment",,
AFC 2,FV-32402,7/10/2015 0:00,"Leakage through found, machining for internals, change act. Bushing, packing and gasket.",,
AFC 2,FV-32402,27-8-2019,"Machining for plug and change seat, leak test and check movement",,
