Factory,Tag_Number,Date,Work_Done,Test,Technician
AFC 2,LV-02510B,12/11/2020 0:00,Gland Tighet,,
AFC 2,XV-218001,10/1/2021 0:00,Change Packing,,
AFC 2,XV-218002,10/1/2021 0:00,Machening,,
AFC 2,MOV 26,3/1/2022 0:00,SEAT MANUFACTORING,,
AFC 2,D5,10/1/2021 0:00,Change With New One,,
AFC 2,D8,10/1/2021 0:00,Cleaned,,
AFC 2,K2-32654,11/1/2021 0:00,Washer Changed,,
AFC 2,K4-32611,11/1/2021 0:00,Washer + Nails manufacturing,,
AFC 2,K4-32611,3/1/2022 0:00,Washer + stem manufacturing,,
AFC 2,XV-142C,3/1/2022 0:00,Add 1 spring (to be 4 springs),,
AFC 2,TV-82001,3/1/2022 0:00,Gland Tighted,,
AFC 2,TV-83007,4/1/2022 0:00,Gland Tighted,,
AFC 2,TV-83007,6/1/2022 0:00,Gland Tighted,,
AFC 2,TV-83057,6/1/2022 0:00,Change Packing,,
AFC 2,TV-83057,,,,
AFC 2,TV-83501,6/1/2022 0:00,Change Packing,,
AFC 2,TV-83501,,,,
AFC 3,FV-303401,5/14/2022 0:00,"change packing, bushing, plug, seat","9 bar air leakage, 50 bar body",M. A
AFC 3,FV-303402,5/8/2022 0:00,change pushing and packing,motion  test,Mohammed Saad
AFC 3,FV-310402,5/10/2022 0:00,machining plug and seat change pushing,,salah
AFC 3,FV-310406,5/8/2022 0:00,machining plug and seat and changes gaskits,50 bar both,Alaa
AFC 3,FV-324401,5/21/2022 0:00,internal m/c change packing gasket,10 bar leak 20 bar gland,M. A
AFC 3,FV-329401,5/20/2022 0:00,replace seat body seal packing,10 bar gland,M. A
AFC 3,FV-329402,5/13/2022 0:00,MACHINIG INTERNAL,"27 bar leakage, 35 bar body",ashraf
AFC 3,FV-390417,5/17/2022 0:00,"change diaphram and bushing, machining for internal",,salah
AFC 3,FV-390418,5/17/2022 0:00,bushing,4 bar leakage 10 shutoff,ashraf
AFC 3,FV-390419,5/17/2022 0:00,replace valve body,5 bar air,M. G
AFC 3,FV-390420,5/10/2022 0:00,change bushing machining gland bolt,10 bar leak 15 bar shutoff,salah
AFC 3,HV-301603,5/10/2022 0:00,change pushing and packing,,Alaa
AFC 3,HV-303607,5/13/2022 0:00,machining plug and seat ,240 bar both,Alaa
AFC 3,HV-303610,5/17/2022 0:00,"internal m/c, replace gaskets, packing, bushing",,M. G
AFC 3,HV-307605,5/18/2022 0:00,"internal m/c, replace packing gaskets seal ring",180 for both,M. A
AFC 3,HV-308609,5/15/2022 0:00,machining internal and replace cage,180 bar leak 210 gland,Mohammed Saad
AFC 3,HV-322604,5/7/2022 0:00,"test ok, change 4 packing",170 bar leake through and gland,M. A
AFC 3,HV-322605,11/1/2020 0:00,Gland Tight,,
AFC 3,HV-322605,5/8/2022 0:00,internal m/c change packing base ring bushing,"180 bar body, 500 ml @ 3.5 bar leakage through",M. A
AFC 3,HV-322605,12/1/2022 0:00,"Change Packing ""Indoor""",,
AFC 3,HV-323605,5/19/2022 0:00,check,,M. A
AFC 3,HV-383004,6/12/2020 0:00,gland leakage = Tighted ,,
AFC 3,LV-303502,5/13/2022 0:00,"body m/c, replace plug seat packing gaskets",170 bar leake through and gland,M. A
AFC 3,LV-305501,5/10/2022 0:00,machining plug and seat change pushing,,salah
AFC 3,LV-305507A,5/14/2022 0:00,CHECK,,Mohammed Saad
AFC 3,LV-308501,2/3/2022 0:00,check in filed,,
AFC 3,LV-308501,5/18/2022 0:00,"body m/c, replace plug seat packing gaskets",190 bar leakage and body,M. A
AFC 3,LV-308507,5/13/2022 0:00,machining plug and seat,"15 bar leakage, 25 bar shutoff",salah
AFC 3,LV-308507,7/1/2022 0:00,Spray,,
AFC 3,LV-308507,8/1/2022 0:00,Spray,,
AFC 3,LV-308510A,5/18/2022 0:00,internal m/c change packing gasket,180 bar both,Ahmed Adel
AFC 3,LV-308510B,5/18/2022 0:00,check packing,"leakage 180, body 210",M. G
AFC 3,LV-308513B,5/16/2022 0:00,CHECK REPLACE DIAPHRAM machining for internal ,25 bar leak 35 gland,salah
AFC 3,LV-309503,5/28/2022 0:00,gland tighted,,
AFC 3,LV-310501,5/8/2022 0:00,machining plug and seat and change packing,40 bar leak through and  40 bar Gland,waly
AFC 3,LV-310503,5/8/2022 0:00,"internal m/c, replace plug seat gaskets",,M. G
AFC 3,LV-310509,4/8/2020 0:00,Change plug and seat and packing by new ,,
AFC 3,LV-310509,5/9/2022 0:00,"internal m/c change plug, seat gaskets, and packing",,M. G
AFC 3,LV-322501,11/1/2020 0:00,Gland Tight,,
AFC 3,LV-322501,5/7/2022 0:00,"internal m/c  , change plug and soft seat and packing",160bar leak & 180bar shutoff,Mohammed Saad
AFC 3,LV-322502,5/10/2022 0:00,change bushing and packing,10 bar both,M. G
AFC 3,LV-323501,5/19/2022 0:00,internal m/c,10BAR LEAK 20 BAR GLAND,salah
AFC 3,LV-323505,8/6/2021 0:00,Gland tighted,,
AFC 3,LV-323505,5/21/2022 0:00,internal m/c change packing gasket,2 bar leak 10 bar gland,Alaa
AFC 3,LV-328503,24/3/2021,GLAND TIGHETED,,
AFC 3,LV-329503,28/3/2021,Gland Tighted,,
AFC 3,LV-329503,5/27/2022 0:00,Gland Tighted,,
AFC 3,LV-329506A,24/3/2021,GLAND TIGHETED,,
AFC 3,LV-329506A,2/1/2022 0:00,CHANGE (SEAT & PLUG & PAKING & PONIT GASKET),,
AFC 3,LV-335501B,1/6/2021 0:00,change piston,,
AFC 3,LV-381501,5/11/2022 0:00,machining plug and seat ,5 bar leak 17 bar shutoff,salah
AFC 3,LV-381503,5/11/2022 0:00,"change acuator , yoke and pushing",20bar both,Alaa
AFC 3,LV-385501A,5/8/2022 0:00,machining plug and seat,10 bar both,salah
AFC 3,LV-389501,5/15/2022 0:00,change acutator and packing,,M. G
AFC 3,LV-389508,5/11/2022 0:00,check motion and clean flap,,alaa
AFC 3,PV-304204,5/13/2022 0:00,"internal m/c, change gaskets packing & bushing",leakage and body up to 40 bar,M. A
AFC 3,PV-305201,5/13/2022 0:00,machining for internal change cage and stem ,,Mohammed Saad
AFC 3,PV-306205,5/14/2022 0:00,check,9 bar air leakage,M. A
AFC 3,PV-308205,20/12/2020,check & tested,,
AFC 3,PV-310201B,5/13/2022 0:00,BUSHING machining internal,30 bar gfor both,alaa
AFC 3,PV-310202,5/14/2022 0:00,machining plug and seat change pushing,20 bar leak 30bar gland,salah
AFC 3,PV-310203A,5/11/2022 0:00,change acuator  pushing ,180bar leak & 210bar shutoff,salah
AFC 3,PV-310203B,5/12/2022 0:00,"BUSHING, HAND WHEEL",,salah
AFC 3,PV-320206A,1/1/2023 0:00,gland tighted,,
AFC 3,PV-322201,5/12/2022 0:00,"plug, seat m/c, change actuator, small leakage found","5 bar leakage, 15 bar body",M. A
AFC 3,PV-322203,5/9/2022 0:00,"MACHINING, PLUG AND SEAT ",160 bar leakthrough,Mohammed Saad
AFC 3,PV-328203,5/20/2022 0:00,internal m/c change packing gasket welding for plug,,Anoas
AFC 3,PV-329202,5/19/2022 0:00,check,,M. A
AFC 3,PV-329202,12/1/2022 0:00,check,,
AFC 3,PV-329203,5/17/2022 0:00,replace body seal and seat,without pressure test,M. G
AFC 3,PV-329204,5/19/2022 0:00,check,,M. A
AFC 3,PV-329205A,5/19/2022 0:00,internal m/c,,salah
AFC 3,PV-329205B,5/19/2022 0:00,internal m/c change packing gasket,15bar both,M. G
AFC 3,PV-329207A,5/20/2022 0:00,change 2 packing ring,10bar for gland,Mohammed Saad
AFC 3,PV-329207C,5/19/2022 0:00,internal m/c change packing gasket,,Mohammed Saad
AFC 3,TV-303013,10/1/2021 0:00,"Change Packing ""Workshop""",,
AFC 3,TV-303027,11/1/2021 0:00,Gland Tighted,,
AFC 3,TV-304007,5/12/2022 0:00,check motion ,160 bar both,Mohammed Saad
AFC 3,TV-305027,12/12/2021 0:00,gland tighted,,
AFC 3,TV-329005,5/11/2022 0:00,"change packing, gasket & body seal",,M. G
AFC 3,TV-335013,5/9/2022 0:00,"m/c, change packing and gasket",,M. A
AFC 3,TV-335015,5/19/2022 0:00,internal m/c,up to 20bar,Ahmed Adel
AFC 3,TV-335017,5/9/2022 0:00,"m/c, change packing, gasket & diaphragm",15 bar,M. A
AFC 3,TV-335020,29/11/2022,Gland Tighted,,
AFC 3,XV-304901,5/14/2022 0:00,check,,M. A
AFC 3,XV-304902,5/13/2022 0:00,"replace seat, packing and body seal",no pressure test done,M. G
AFC 3,XV-305901,20/12/2021,Stoper Adjust,,
AFC 3,XV-305904,5/27/2022 0:00,gland tighted,,
AFC 3,XV-308905,28/12/2022,Change Bushing With New,,
AFC 3,XV-321901,5/17/2022 0:00,check,,M. G
AFC 3,XV-322901,5/19/2022 0:00,replace plug seat,,M. G
AFC 3,XV-322902,5/10/2022 0:00,"MACHININGfor internal and change plug and BUSHING, change damaged actuator",,Mohammed Saad
AFC 3,XV-322903,8/6/2021 0:00,Gland tighted,,
AFC 3,XV-322903,5/10/2022 0:00,change plug seat packing,,M. A
AFC 3,XV-322903,12/1/2022 0:00,"Machinig Plug & Seat, Change Packing, Change Cage & Carbon Ring",,
AFC 3,XV-322903,12/1/2022 0:00,Gland Tighted,,
AFC 3,XV-322915,5/9/2022 0:00,"m/c, change packing and gasket",,M. G
AFC 3,XV-329901,12/1/2022 0:00,"Machining Plug & Seat, Change Bushing With New",,
AFC 3,XV-381902,6/13/2022 0:00,Gland Tighted,,
AFC 3,XV-381902,8/1/2022 0:00,Open The Valve,,
AFC 3,XV-390906,3/15/2022 0:00,Change (seat & plug),,
AFC 3,XV-390909,3/16/2022 0:00,cgange packing,,
AFC 3,XV-390914,3/15/2022 0:00,adjust flap + change packing,,
AFC 3,XV-390945,3/18/2022 0:00,change packing,,
AFC 3,XV-390950,3/16/2022 0:00,change packing,,
AFC 3,XV-390957,3/15/2022 0:00,change packing,,
AFC 3,NCMETER,11/1/2020 0:00,Changed With Another,,
