warehouse_number,sap_code,oracle_code,condition,description,part_number,tag_number,MANUFATURE_CO,unit_of_measure,category
10,2200001340,0190506870110296,NEW,Orings 202831,,,,PC,ZSPR
10,2200001341,0190506870110309,NEW,Pistons 10002818,,,,PC,ZSPR
10,2200001342,0190506870110328,NEW,Sealing 21053,,,,PC,ZSPR
10,2200001343,0190506870110332,NEW,Diaphragmviton Sr 1087,,,,PC,ZSPR
10,2200001344,0190506870110347,NEW,Sealing 21055,,,,PC,ZSPR
10,2200001345,0190506870110351,NEW,Gasket 18710,,,,PC,ZSPR
10,2200001346,0190506870110366,NEW,Sealing Ring Viton 18522,,,,PC,ZSPR
10,2200001347,0190506870110394,NEW,Gasket (16),,,,PC,ZSPR
10,2200001348,0190506870110407,NEW,Gasket (17),,,,PC,ZSPR
10,2200001349,0190506870110426,NEW,Gaskets 18552,,,,PC,ZSPR
10,2200001350,0190506870110431,NEW,Prateition Disk R0880380,,,,PC,ZSPR
10,2200001351,0190506870110445,NEW,Diaphragms 50773,,,,PC,ZSPR
10,2200001352,0190506870110450,NEW,Piston Sr 10293,,,,PC,ZSPR
10,2200001353,0190506870110464,NEW,Diaphragms 5077,,,,PC,ZSPR
10,2200001354,0190506870110479,NEW,Diaphragms R0880163,,,,PC,ZSPR
10,2200001355,0190506870110483,NEW,Sheet Gasket Sr1085,,,,PC,ZSPR
10,2200001356,0190506870110492,NEW,Sheet Gasket 66664,,,,PC,ZSPR
10,2200001357,0190506870110506,NEW,Gakset 5106a,,,,PC,ZSPR
10,2200001358,0190506870110511,NEW,Gakset R0850115,,,,PC,ZSPR
10,2200001359,0190506870110525,NEW,Gakset R0850217,,,,PC,ZSPR
10,2200001360,0190506870110530,NEW,Gakset 202021,,,,PC,ZSPR
10,2200001361,0190506870110544,NEW,Sealing Ringviton D145331,,,,PC,ZSPR
10,2200001362,0190506870110559,NEW,Sealing Ring Viton 3916,,,,PC,ZSPR
10,2200001363,0190506870110582,NEW,Oring 20292,,,,PC,ZSPR
10,2200001364,0190506870110591,NEW,Gosket 18221,,,,PC,ZSPR
10,2200001365,0190506870110603,NEW,O Ring 20222,,,,PC,ZSPR
10,2200001366,0190506870110675,NEW,Prinj F50,,,,PC,ZSPR
10,2200001367,0190506870110699,NEW,Thrust Rinj F50,,,,PC,ZSPR
10,2200001368,0190506870110701,NEW,Thrust Rinj F100,,,,PC,ZSPR
10,2200001369,0190506870110716,NEW,Thrust Rinj F5,,,,PC,ZSPR
10,2200001370,0190506870110754,NEW,R M G P M 465,,,,PC,ZSPR
10,2200001371,0190506870110814,NEW,Roll Back Diaphragm,,,,PC,ZSPR
10,2200001372,0190506870110867,NEW,Oring (1),,,,PC,ZSPR
10,2200001373,0190506870110895,NEW,Scraper Ring 20990,,,,PC,ZSPR
10,2200001374,0190506870110908,NEW,Scraper Ring 20989,,,,PC,ZSPR
10,2200001375,0190506870111110,NEW,O -Ring 2-140 W2.62 D 65.82 20915,,,,PC,ZSPR
10,2200001376,0190506870111120,NEW,O -Ring 2-375 W5.33 D 240.67 20615,,,,PC,ZSPR
10,2200001275,0190506870111130,NEW,Safety Washer St5x0.6 19140,,,,PC,ZSPR
10,2200001276,0190506870111170,NEW,Diaphragm 200/190-60 10013535,,,,PC,ZSPR
10,2200001277,0190506870111190,NEW,O -Ring 2-018 W1.78 D 18.77 21070,,,,PC,ZSPR
10,2200001278,0190506870111220,NEW,O -Ring 2-210 W3.53 D 18.64 20604,,,,PC,ZSPR
10,2200001279,0190506870111280,NEW,O -Ring 2-015 W1.78 D 14.00 20332,,,,PC,ZSPR
10,2200001280,0190506870111300,NEW,O -Ring 2-007 W1.78 D 3.68 20790,,,,PC,ZSPR
10,2200001281,0190506870111310,NEW,Sealing Ring A 8 X 11.5 18710,,,,PC,ZSPR
10,2200001282,0190506870111320,NEW,Safety Washer 3.2 19065,,,,PC,ZSPR
10,2200001283,0190506870111350,NEW,O -Ring 2-011 W1.78 D 7.65 20658,,,,PC,ZSPR
10,2200001284,0190506870111360,NEW,O -Ring 2-019 W1.78 D 20.35 20823,,,,PC,ZSPR
10,2200001285,0190506870111370,NEW,Seat Ring 6 Tn2.25 150/600,,,,PC,ZSPR
10,2200001286,0190506870111380,NEW,Seat Ring Mgstrm 6 150/600,,,,PC,ZSPR
10,2200001287,0190506870111390,NEW,Sleeve Mgstrm Pb 6 Tn 2.25,,,,PC,ZSPR
10,2200001288,0190506870111400,NEW,Plug Mgstrm Pb 6 Tn 2.25,,,,PC,ZSPR
10,2200001289,0190506870111410,NEW,Gasket Spiral 6.81*6.31,,,,PC,ZSPR
10,2200001290,0190506870111420,NEW,Gasket Spiral 6.38*5.88,,,,PC,ZSPR
10,2200001291,0190506870111430,NEW,Gasket Spiral 7.56 * 7.06,,,,PC,ZSPR
